id;jhipster_version;creation_date;git_provider;node_version;os;arch;cpu;cores;memory;user_language;year;month;week;day;hour;server_port;authentication_type;cache_provider;enable_hibernate_cache;websocket;database_type;dev_database_type;prod_database_type;search_engine;message_broker;service_discovery_type;build_tool;enable_swagger_codegen;client_framework;use_sass;client_package_manager;application_type;jhi_prefix;enable_translation;native_language;has_protractor;has_gatling;has_cucumber
1;communities Zambian Kwacha;2018-06-15T07:54:58;AI Hat Lakes;compress hierarchy index;Representative methodology seamless;Savings Account Internal bleeding-edge;Sports connecting;calculate;adapter;Self-enabling Buckinghamshire Bike;35890;39694;67397;62058;35859;SAS Tasty;Brand payment;silver Borders Markets;false;false;Wooden Fantastic;lime Electronics;Chief Manager Turkish Lira;false;false;true;District Mall quantifying;true;Books;true;1080p copying Greenland;Iowa;IB whiteboard metrics;true;Horizontal hack Turnpike;false;true;false
2;Hong Kong Dollar;2018-06-14T17:56:16;Supervisor Frozen;Tanzanian Shilling Summit Generic;Rhode Island Auto Loan Account Plastic;Money Market Account Fantastic Steel Hat Borders;seize hub;Assimilated Computers District;Unbranded recontextualize neutral;white Garden;61830;81716;72786;15329;3586;primary;Ergonomic Legacy;Sleek Wooden Sausages;false;false;digital interface Borders;visualize Borders;Guarani even-keeled gold;false;true;false;Integration bypassing Savings Account;false;Buckinghamshire;true;Cyprus backing up;quantifying Gardens;zero administration Guinea Franc;true;yellow override Music;true;false;false
3;SDD Rhode Island invoice;2018-06-15T06:16:45;Personal Loan Account invoice;Tennessee;payment Salad parsing;interface;solution bus;Interactions Faroe Islands;Concrete vortals;payment Chips;15710;21688;29853;52261;9917;application Agent program;Assurance 1080p;Wisconsin;true;false;Administrator;Corporate Intuitive matrices;PNG bottom-line Unbranded;false;true;false;Designer Licensed Soft Cheese capability;true;Louisiana;false;redundant;black;dot-com;false;magenta copy;false;true;true
4;B2B integrated;2018-06-15T00:22:46;Home Loan Account;Democratic People's Republic of Korea synergize Philippines;Principal;SSL;Jewelery next-generation Plastic;Persevering orange experiences;Architect Fresh mobile;Branding Alley interface;11985;32776;63503;14091;24891;withdrawal cyan Money Market Account;Ohio;bypassing integrate open-source;true;true;Tasty;Oval;deposit;false;false;false;maximized;true;Green;true;withdrawal Maryland;Marketing;parsing Central Tennessee;true;wireless Engineer deposit;false;true;false
5;Sleek lavender;2018-06-14T23:39:45;metrics Automated Executive;global Bedfordshire Mali;Investment Account transmitter synthesizing;concept;Gorgeous payment;white;infrastructures alarm;SCSI productivity port;41605;84997;94118;63232;10785;Plastic Incredible Assurance;Configuration;Branding Shoes orchestrate;false;true;Producer cross-platform;alliance;Algeria Integration;false;false;false;redundant monitor Clothing;false;West Virginia multi-state;false;Cambridgeshire;Officer Rubber connect;Personal Loan Account Corporate quantify;false;Morocco Bacon Senior;false;true;true
6;New Zealand Dollar;2018-06-15T04:49:55;Officer driver synthesizing;indexing indexing interface;Missouri Sports Auto Loan Account;XSS Accountability embrace;Shoes deposit Borders;Practical hacking;strategy Group Assistant;value-added;34376;57697;49827;9536;70999;Strategist firmware Refined Metal Bike;compress calculate;Research;false;false;Investment Account Metrics;Mississippi infrastructures e-commerce;Assurance HTTP;true;true;false;azure Buckinghamshire;true;compressing;true;Granite;Bedfordshire Garden;Practical Frozen Computer;true;Western Sahara reboot communities;true;false;false
7;Home Loan Account content strategize;2018-06-14T18:02:57;Pizza Berkshire 6th generation;Shoes black Nuevo Sol;Egyptian Pound Handcrafted Concrete Ball;SAS Causeway;Angola Mississippi;Security;portals deliver;synergies mint green systems;29298;76635;39375;63283;76867;encoding Berkshire Handcrafted Concrete Cheese;Operations Berkshire embrace;Avon Trinidad and Tobago calculate;true;true;Unbranded;auxiliary Namibia;orange Planner reboot;true;true;false;Programmable B2B;true;Personal Loan Account Beauty;true;Cambridgeshire Baht;context-sensitive Intranet bypass;Investment Account AI;true;Digitized Singapore synthesizing;false;true;false
8;Island Gold;2018-06-15T02:54:52;transmit Generic Cotton Fish Bedfordshire;Clothing PCI;distributed payment;invoice;even-keeled synthesizing;Monitored Forward;eco-centric Kids installation;Ukraine California Investor;87791;12212;6943;30981;80625;Vision-oriented Games client-server;Silver Overpass secured line;Optimization;true;false;Leone;dynamic Savings Account;Salad mindshare fuchsia;true;true;true;Awesome copying Mississippi;true;white;false;Metal paradigms;Wooden Shirt reboot;Avon Factors;true;Texas compress monetize;true;true;true
9;Accountability capacity;2018-06-15T13:15:45;Wisconsin virtual Configuration;transmitting solid state;Pennsylvania hard drive;Germany back up Manager;web services;global;Checking Account;Product Home;99406;85036;63279;76793;90618;program;Director;Sausages mobile;true;false;Uganda Shilling Analyst markets;Borders;Versatile Ergonomic multi-byte;true;true;false;Concrete Gabon Investor;true;hybrid Cheese;false;infomediaries;Salad;Avon synergize grey;true;wireless Fantastic Steel Keyboard Uganda Shilling;false;false;false
10;Fresh;2018-06-15T09:18:50;Interactions knowledge base Automated;Avon Valleys deposit;Technician Customer Berkshire;Rustic Wooden Computer Kids Chief;Incredible portals multi-byte;TCP;applications Licensed Fresh Sausages;Auto Loan Account generate Estonia;88120;79119;52861;5073;17724;Personal Loan Account;Hryvnia Handcrafted networks;Ergonomic Savings Account;true;true;black bluetooth;Awesome azure;Facilitator solutions Practical;true;false;false;Mississippi;true;payment;true;cross-platform synthesize;black;Georgia Chips;false;transmitting Nevada;true;false;true
